,max_depth,minInstancesPerNode,training_rmse,testing_rmse,Best Model
0,2.0,2.0,0.021514299267114456,0.020286990897869117,0.0
1,2.0,3.0,0.021514299267114456,0.020286990897869117,0.0
2,2.0,4.0,0.021514299267114456,0.020286990897869117,0.0
3,2.0,5.0,0.021514299267114456,0.020286990897869117,0.0
4,2.0,6.0,0.021514299267114456,0.020286990897869117,0.0
5,2.0,7.0,0.021514299267114456,0.020286990897869117,0.0
6,2.0,8.0,0.021514299267114456,0.020286990897869117,0.0
7,2.0,9.0,0.021514299267114456,0.020286990897869117,0.0
8,2.0,20.0,0.021514299267114456,0.020286990897869117,0.0
9,3.0,2.0,0.028514039867458152,0.025541282655481834,0.0
10,3.0,3.0,0.028514039867458152,0.025541282655481834,0.0
11,3.0,4.0,0.028514039867458152,0.025541282655481834,0.0
12,3.0,5.0,0.028514039867458152,0.025541282655481834,0.0
13,3.0,6.0,0.028514039867458152,0.025541282655481834,0.0
14,3.0,7.0,0.028514039867458152,0.025541282655481834,0.0
15,3.0,8.0,0.028514039867458152,0.025541282655481834,0.0
16,3.0,9.0,0.028514039867458152,0.025541282655481834,0.0
17,3.0,20.0,0.028514039867458152,0.025541282655481834,0.0
18,4.0,2.0,0.036440116330435646,0.027327896018473186,0.0
19,4.0,3.0,0.036440116330435646,0.027327896018473186,0.0
20,4.0,4.0,0.036440116330435646,0.027327896018473186,0.0
21,4.0,5.0,0.036440116330435646,0.027327896018473186,0.0
22,4.0,6.0,0.036440116330435646,0.027327896018473186,0.0
23,4.0,7.0,0.036440116330435646,0.027327896018473186,0.0
24,4.0,8.0,0.036440116330435646,0.027327896018473186,0.0
25,4.0,9.0,0.036440116330435646,0.027327896018473186,0.0
26,4.0,20.0,0.03642921748830896,0.027408093349065243,0.0
27,5.0,2.0,0.049223511640522966,0.03262132235164139,0.0
28,5.0,3.0,0.04897129511268106,0.034208128800047644,0.0
29,5.0,4.0,0.04890520319393177,0.03420277662979099,0.0
30,5.0,5.0,0.04881148557094417,0.034406502870809375,0.0
31,5.0,6.0,0.04872974561768595,0.03505223463191687,0.0
32,5.0,7.0,0.04864355742750626,0.03561698194804164,0.0
33,5.0,8.0,0.04850743534365631,0.035817307190552206,0.0
34,5.0,9.0,0.048481589527540336,0.03581684510444183,0.0
35,5.0,20.0,0.04836274141350194,0.03619996900858746,0.0
36,6.0,2.0,0.11045094722670623,-0.04290465732417159,0.0
37,6.0,3.0,0.09955471472361965,0.04118929836792051,0.0
38,6.0,4.0,0.09883607154957652,0.039342669912769024,0.0
39,6.0,5.0,0.09838071276098603,0.03946659508969974,0.0
40,6.0,6.0,0.09576421061525975,0.049653575464477795,0.0
41,6.0,7.0,0.09524068695037069,0.04968188154888231,0.0
42,6.0,8.0,0.08938290123576687,0.040536526738440326,0.0
43,6.0,9.0,0.0885973082786452,0.026477429704431454,0.0
44,6.0,20.0,0.07229447508443343,0.036873351836951174,0.0
45,7.0,2.0,0.14842000598935245,-0.06157495529541146,0.0
46,7.0,3.0,0.13226698400908987,0.04708667290132118,0.0
47,7.0,4.0,0.12789867399099175,0.05329651056996054,0.0
48,7.0,5.0,0.1258234516865797,0.05421623603941372,0.0
49,7.0,6.0,0.12270120909286175,0.06260598000469952,0.0
50,7.0,7.0,0.12424671120811959,0.056536277308746996,0.0
51,7.0,8.0,0.11596078400385457,0.0541613816345331,0.0
52,7.0,9.0,0.10181070018696148,0.029125023881270584,0.0
53,7.0,20.0,0.09348262261981966,0.03344168031586703,0.0
54,8.0,2.0,0.17439095244080816,-0.0801402409432006,0.0
55,8.0,3.0,0.15724823300259116,0.02670215837567924,0.0
56,8.0,4.0,0.14847018821944424,0.03611313422055473,0.0
57,8.0,5.0,0.14573945545972822,0.03721160559110426,0.0
58,8.0,6.0,0.14183121921638986,0.05386882765299039,0.0
59,8.0,7.0,0.14510679376233937,0.047878636804490116,0.0
60,8.0,8.0,0.1361910036142805,0.047072794658542416,0.0
61,8.0,9.0,0.12018251379099221,0.021738948047049345,0.0
62,8.0,20.0,0.10381123506447754,0.04078173574109689,0.0
63,9.0,2.0,0.2141468109076058,-0.12453919746646114,0.0
64,9.0,3.0,0.19286575716729715,-0.0053727079660632615,0.0
65,9.0,4.0,0.1824224123023659,0.01971234536482569,0.0
66,9.0,5.0,0.1749717432437078,0.01737040396033429,0.0
67,9.0,6.0,0.16888772512782813,0.03958188625433057,0.0
68,9.0,7.0,0.16687998156471695,0.037795709020949864,0.0
69,9.0,8.0,0.15512201482078247,0.040116809989309776,0.0
70,9.0,9.0,0.1345980737186434,0.014952491698960624,0.0
71,9.0,20.0,0.11419925489997074,0.03650583539646457,0.0
72,10.0,2.0,0.253200529539487,-0.14720100658772295,0.0
73,10.0,3.0,0.22651768767568525,-0.03031320506480295,0.0
74,10.0,4.0,0.21141850084261848,-0.0014017219373141376,0.0
75,10.0,5.0,0.20091982166027178,-0.007846191604513608,0.0
76,10.0,6.0,0.1928055850105368,0.018948812227826295,0.0
77,10.0,7.0,0.1888744626508576,0.022266416459863603,0.0
78,10.0,8.0,0.1711226232782742,0.031254594094329735,0.0
79,10.0,9.0,0.14941051765851954,0.004273792302030732,0.0
80,10.0,20.0,0.12607711262503396,0.03352496001867378,0.0
81,11.0,2.0,0.2924060187764529,-0.20270426853800694,1000.0
82,11.0,3.0,0.2667035870344412,-0.07633947221122539,0.0
83,11.0,4.0,0.23919979411017178,-0.023345015041542183,0.0
84,11.0,5.0,0.22481878223578478,-0.02008814029996575,0.0
85,11.0,6.0,0.2147342951240483,0.007784787115683978,0.0
86,11.0,7.0,0.20976833446730547,0.0053325643213911755,0.0
87,11.0,8.0,0.19175504011897482,0.013100037323652058,0.0
88,11.0,9.0,0.1736746568420966,-0.011714271678804788,0.0
89,11.0,20.0,0.1398156647930734,0.031248128124601204,0.0
90,2.0,2.0,48.98753431641373,51.522963694209224,0.0
91,2.0,3.0,48.98753431641373,51.522963694209224,0.0
92,2.0,4.0,48.98753431641373,51.522963694209224,0.0
93,2.0,5.0,48.98753431641373,51.522963694209224,0.0
94,2.0,6.0,48.98753431641373,51.522963694209224,0.0
95,2.0,7.0,48.98753431641373,51.522963694209224,0.0
96,2.0,8.0,48.98753431641373,51.522963694209224,0.0
97,2.0,9.0,48.98753431641373,51.522963694209224,0.0
98,2.0,20.0,48.98753431641373,51.522963694209224,0.0
99,3.0,2.0,48.812000079007326,51.384616735857826,0.0
100,3.0,3.0,48.812000079007326,51.384616735857826,0.0
101,3.0,4.0,48.812000079007326,51.384616735857826,0.0
102,3.0,5.0,48.812000079007326,51.384616735857826,0.0
103,3.0,6.0,48.812000079007326,51.384616735857826,0.0
104,3.0,7.0,48.812000079007326,51.384616735857826,0.0
105,3.0,8.0,48.812000079007326,51.384616735857826,0.0
106,3.0,9.0,48.812000079007326,51.384616735857826,0.0
107,3.0,20.0,48.812000079007326,51.384616735857826,0.0
108,4.0,2.0,48.61247068644195,51.33748977223006,0.0
109,4.0,3.0,48.61247068644195,51.33748977223006,0.0
110,4.0,4.0,48.61247068644195,51.33748977223006,0.0
111,4.0,5.0,48.61247068644195,51.33748977223006,0.0
112,4.0,6.0,48.61247068644195,51.33748977223006,0.0
113,4.0,7.0,48.61247068644195,51.33748977223006,0.0
114,4.0,8.0,48.61247068644195,51.33748977223006,0.0
115,4.0,9.0,48.61247068644195,51.33748977223006,0.0
116,4.0,20.0,48.61274561390323,51.33537332698065,0.0
117,5.0,2.0,48.28892705504202,51.19760606616838,0.0
118,5.0,3.0,48.2953315349907,51.155598713838806,0.0
119,5.0,4.0,48.29700965241099,51.15574045923072,0.0
120,5.0,5.0,48.29938910473355,51.15034475291134,0.0
121,5.0,6.0,48.30146435319082,51.13323873150011,0.0
122,5.0,7.0,48.30365243879795,51.11827336921962,0.0
123,5.0,8.0,48.30710800936645,51.11296385414092,0.0
124,5.0,9.0,48.3077640986511,51.11297610212463,0.0
125,5.0,20.0,48.31078091226586,51.10282007079396,0.0
126,6.0,2.0,46.70821706240413,53.15862053646471,0.0
127,6.0,3.0,46.99341467507215,50.970375774707925,0.0
128,6.0,4.0,47.01216359945639,51.019435547569365,0.0
129,6.0,5.0,47.024039739623014,51.01614467771572,0.0
130,6.0,6.0,47.09222226819925,50.74489656480513,0.0
131,6.0,7.0,47.10585274249442,50.74414084037451,0.0
132,6.0,8.0,47.258098094598715,50.98772349209757,0.0
133,6.0,9.0,47.27847857363095,51.359928611519486,0.0
134,6.0,20.0,47.69945429500205,51.08496482428611,0.0
135,7.0,2.0,45.700511831695195,53.63233818175383,0.0
136,7.0,3.0,46.13190617130776,50.81338178426254,0.0
137,7.0,4.0,46.24787818188869,50.64754371764577,0.0
138,7.0,5.0,46.30287041663404,50.622935614083154,0.0
139,7.0,6.0,46.3854852715226,50.39790555974149,0.0
140,7.0,7.0,46.34460953623208,50.56080755777861,0.0
141,7.0,8.0,46.56333781046804,50.62440362973814,0.0
142,7.0,9.0,46.93450884862778,51.29004177425156,0.0
143,7.0,20.0,47.15159691289995,51.17589312534322,0.0
144,8.0,2.0,44.99824343004475,54.09927837333423,0.0
145,8.0,3.0,45.46300884177264,51.3540002873927,0.0
146,8.0,4.0,45.6991652832775,51.10512210568706,0.0
147,8.0,5.0,45.772381933164894,51.07599341922505,0.0
148,8.0,6.0,45.87696662078709,50.6322322516081,0.0
149,8.0,7.0,45.78932821108566,50.79226195739316,0.0
150,8.0,8.0,46.027480260505136,50.813751806310265,0.0
151,8.0,9.0,46.452023132281205,51.48477043120316,0.0
152,8.0,20.0,46.88221115215437,50.98120763813453,0.0
153,9.0,2.0,43.90146863982694,55.19995174178963,0.0
154,9.0,3.0,44.491927962559245,52.19332261859325,0.0
155,9.0,4.0,44.77883885243074,51.53807174136765,0.0
156,9.0,5.0,44.982413199112145,51.59959814176383,0.0
157,9.0,6.0,45.14796578905423,51.01308289599721,0.0
158,9.0,7.0,45.202465561622546,51.060497704201396,0.0
159,9.0,8.0,45.52032309898186,50.99887454800506,0.0
160,9.0,9.0,46.06989981130319,51.663043536630376,0.0
161,9.0,20.0,46.609705581534215,51.09471056944872,0.0
162,10.0,2.0,42.79670564428222,55.75337454362943,0.0
163,10.0,3.0,43.554550143399766,52.83674219426893,0.0
164,10.0,4.0,43.977610749303615,52.0901449539883,0.0
165,10.0,5.0,44.26938798053734,52.25748788854123,0.0
166,10.0,6.0,44.49358637650555,51.5581389970805,0.0
167,10.0,7.0,44.60179902563819,51.47088852733109,0.0
168,10.0,8.0,45.087222474616155,51.23375970442512,0.0
169,10.0,9.0,45.673925920075924,51.94232294012758,0.0
170,10.0,20.0,46.296152047363314,51.17368839289704,0.0
171,11.0,2.0,41.65819073480208,57.0861593163874,0.0
172,11.0,3.0,42.40803203690813,54.004012944672546,0.0
173,11.0,4.0,43.19601166115823,52.65776696488528,0.0
174,11.0,5.0,43.60235632731251,52.57390647842631,0.0
175,11.0,6.0,43.88505575105806,51.85066608179273,0.0
176,11.0,7.0,44.02359993972001,51.91470003294976,0.0
177,11.0,8.0,44.52253064960868,51.71159879825768,0.0
178,11.0,9.0,45.01775935937123,52.357673101652324,0.0
179,11.0,20.0,45.93080992925652,51.23393068608064,0.0
